comment,date,drug,effectiveness,ease of use,satisfaction
"I've been on citalpram for three years and this summer I slowly eased of them from 60mg to none in three months. I wanted to see what I was really feeling with out the drug. (I did this with my doctors okay). I can't belive what a differnce it was with out it, and not in a good way! All the bad feelings came back, teeth ginding, social fears, and the depression sliding back fast,and  bad dreams again. I'm back on it again, at 20mg, and can't wait for the dose to be upped again, next month. I was so surprised what the meds were doing, and they were helping, I just didn't know how much. 

",9/24/2010 2:44:07 PM,citalopram oral,5.0,5.0,5.0
"Change from Lexapro to generic Celex 10 mg tablet for a lower cost.
I use other antidepresants
This drug has worked very well in the last 6 months except it is  producing a lot of unharmful dreams.If I  wake up and go to sleep again I go back to the same dream.
Dreams pop up every night
",9/22/2010 5:30:38 PM,citalopram oral,5.0,5.0,5.0
"I have been on this drug for over a month and a half now for anxiety.  I use to take lexapro but it was so expensive to keep up so the doctor prescribed me citalopram.  Although cheaper, I still have yet to feel anything better.  They say its the same, but it isn't.  I felt Lexapro kicked in quicker.  My brain cannot shut off.  I can't sleep at all.  I feel awful",9/22/2010 1:47:14 AM,citalopram oral,1.0,3.0,1.0
I started useing the Citalopram HBR  and I get sleeping again and I'M asleep for couple hours then when taking just Citalopram itself I am fine and awake for the rest of the day I talk to my doctor and suggested to stop taking the HBR and remain on citalopram was ther a diffrence he said the HBR is used mostly to relax the brain rather it be active the medicine is used only at night well I am not happy how this med makes me feel. ,9/21/2010 3:28:11 PM,citalopram oral,4.0,4.0,3.0
"I have only been taking this medication for 6 days, and the side affects are horrible.  Increased Anxiety, tired the first few hours after taking it, yawning, increased sexual interest, loss of appetite, wake up after only 4-5 hours of sleep and can’t go back to sleep, clenching jaw, nausea, loose bowels, headaches, dry mouth, increased sweating.  After reading the other reviews, I'm very hopeful that these symtoms will go away after a few weeks.  At the very least, hope the increased anxiety vanishes... it's why I'm taking it in the first place!!",9/20/2010 2:17:14 PM,citalopram oral,1.0,5.0,1.0
"I have been on this (along with Xanax for my anxiety) for about 2 months and have seen definite improvements. I'm currently on take 20 mgs, doctor might bump me up to 30 or 40 mgs once winter sets in. I feel great and side effect have been minimal. ",9/14/2010 1:55:18 PM,citalopram oral,5.0,5.0,5.0
Taking the medicine has let me rest more; but when I rest it feels like I'm falling off a bridge sometimes when I awaken. ,9/12/2010 9:13:49 PM,citalopram oral,3.0,2.0,2.0
Post pardum depression,9/12/2010 12:15:44 PM,citalopram oral,4.0,3.0,3.0
"I call this my kill pill...If i go without for a few days, I'm screaming, yelling, and just can't get control of myself. Since I have taken this medicine for several years, I would never stop it. My doctor says I have an imbalence in my brain, I also have had seizures for more than 50 years, but they are under control.",9/11/2010 9:39:36 PM,citalopram oral,5.0,5.0,5.0
Definitely feeling better after 2 months but had to switch my dosage to evenings so I could sleep.  After 1 additional month my headaches are subsiding and I am sleeping much better,9/11/2010 11:19:25 AM,citalopram oral,4.0,4.0,4.0
"When Medco decided they wouldn't pay for my lexapro any longer, they switched me to citalopram and I'm, again, crying all the time. I NEVER cried on Lexapro.",9/9/2010 12:09:48 PM,citalopram oral,2.0,4.0,1.0
"I had very bad depression. I would bite everyones head off, then run off and cry and hate myself. It caused my marriage to end. Now I am doing great. No side effects except being sleepy. One benefit for me was my sex drive! I am always ready to go. Before I just went thru the motions. Now I am very happy.",9/3/2010 4:39:51 PM,citalopram oral,5.0,5.0,5.0
"4/5 on effectiveness and satisfaction only because I have never before taken any anti-depression medications whatsoever and have never taken any since I discontinued use of this particular medicine.

Walked around with my head down until I started this medication and immediately noticed myself engaging in conversation almost involuntarily because of how seemingly strange conversation was after being afflicted by my condition.

Had a smile on my face and stayed level-headed and task/goal oriented.

Would resume use of this medication.",9/2/2010 2:39:26 PM,citalopram oral,4.0,5.0,4.0
"Before starting this drug I was hell to live with.  My work life and personal life was suffering from my uncontrollable anxiety and my social anxiety was so bad it interfered with my daily life.  After only 2 weeks on this medicine I am a completely different person! One that I and my husband like! I feel like my old self again and have had no side affects at all! It has changed my life and I LOVE IT! Before this I was on Paxil, and it was terrible! It made me sick and zombie-like and horrible other side affects! I'm now taking 10 mg of this along with colozapram which has been a great combination. No more anxiety, panic attacks, or social awkwardness! This has been my lifesaver!!",9/2/2010 8:45:39 AM,citalopram oral,5.0,5.0,5.0
within the first month of taking this I could tell a big difference - family also noted a difference in my moods and behaviors. It has been easy to take with minor side effects of sleepiness (I can only take it at night before bed or I am tired and napping most of the day).,9/1/2010 1:45:10 PM,citalopram oral,5.0,5.0,5.0
Have taken this for about a month.  I am more tired and have been sleeping alot longer. Not much energy.  Hope this will decrease over the next few months and get a little more energy back.,8/31/2010 5:18:49 PM,citalopram oral,3.0,4.0,3.0
"Have been taking this 8 days, this time. Tried it several months ago, and it made my anxiety unbearable. This time, am taking half a pill, and noticed improvement in my mood immediately. Am no longer easily upset, angry, and constantly sad. Have not noticed any side effects. Feel like I should, able to deal with life now. Sleep patterns are unaffected so far. One day at a time!",8/29/2010 9:56:26 PM,citalopram oral,4.0,4.0,4.0
I have been taking this med for over a year. It has helped greatly with the depression but for the first part of the day I feel zonked. Cant seem to get fully awake until around 10 or so. Also have noticed over this time period I have gained around 16pounds. I have never gained that much weight in a year!,8/26/2010 8:12:58 AM,citalopram oral,4.0,5.0,3.0
"Was on this med for 8 mo's. Took away the depression, but I felt tired all the time.
Could no wake up in the morning and had no desire to do anything.",8/25/2010 12:03:36 PM,citalopram oral,3.0,4.0,1.0
mild headaches,8/23/2010 9:05:17 PM,citalopram oral,2.0,3.0,2.0
Swelling of the eye lids and beneath the eyes.,8/22/2010 10:18:48 AM,citalopram oral,4.0,4.0,4.0
"After 3 years I am somewhat satisfied.  I no longer suffer from ""social anxiety"" at work and can confront the issues that arise without bursting into tears.  BUT I don't have the desire to cope with much else or resume the things that used to bring me great joy.  Obligations and maintaining friendships do not intrest me...in fact nothing much intrests me anymore.  This helps me function and be a useful member of society but does not restore my joy.  ",8/21/2010 4:51:14 PM,citalopram oral,3.0,5.0,3.0
"I have had many side effects with this medication. Troubles sleeping, tiredness during the day even after a nap, weight gain, diarreha, nausea, very noticeable increase in menstrual cramps, definate increase in sweating, change in appetite. When I first started taking citalopram after that first inital month my anxiety seemed to disappear. That part of the pills is very nice but being a single mother I can not handle being unable to sleep and being so darn tired ALL the time. Then after taking these for several months I have started to feel anxiety again. I take these every day and have not skipped a day. The other day I even had a panic attack. This medication is just not worth it to me. Be aware of ALL side effects when taking something. Also check out if you can take something like ibuprophren or asprin while on the medication trust me you won't want to deal with why. It is NOT fun and can be scary.",8/21/2010 11:29:10 AM,citalopram oral,3.0,5.0,3.0
"Seems to have worked good for me, but does not help the anxiety attacks",8/20/2010 8:40:03 PM,citalopram oral,5.0,5.0,5.0
Believe caused Peyronie's Disease (curvature of the penis). Discuss this potential with your doctor before starting treatment.,8/17/2010 12:21:05 PM,citalopram oral,3.0,5.0,1.0
Few months after starting have developed Peyronie's Disease (curvature of the penis). Since I've not had any tramatic injury to the penis I question that this medication is either the cause or contributor of this condition. Discuss this potential issue with your doctor before treatment.,8/17/2010 12:14:44 PM,citalopram oral,3.0,5.0,2.0
It is a very great medication and safe. I have slowed winged off of it with a natural stress relief complex dietary supplement that helps relieves tension and stress. ,8/17/2010 10:06:00 AM,citalopram oral,5.0,5.0,5.0
"I dont feel as sad as often as before and i dont experience any major side effects only tiredness which is possibly due to depresion itself.However i have noticed my facial hair and hair seems to be growing rapido,i wonder if this is due to citralopram",8/12/2010 11:27:05 AM,citalopram oral,4.0,5.0,4.0
I take 20mg daily and it works good for depression and anxiety. I enjoy life again and I can handle everyday ups and downs.,8/10/2010 8:38:42 PM,citalopram oral,5.0,5.0,5.0
Im not as sad as before even though I still find myself crying for no reason but not as bad as before. I dont want to end my life anymore and that feels good. But I dont like that I feel tired ALL the time. I get 8 hours of sleep at night yet I feel exhausted from the moment I get out of bed till the moment I get back in it. I hope this goes away. Ive only been on this med for 2 weeks. ,8/10/2010 3:07:25 PM,citalopram oral,3.0,5.0,3.0
I do feel little bit calmer but I feel tired and that I am not getting enough sleep. I still have some trouble sleep and I do get up set still like out burst. Its been almost month. I been having mood swing and been stress,8/10/2010 11:22:35 AM,citalopram oral,3.0,4.0,2.0
"This has been a life saver!  My daughter was diagnosed with generalized anxiety disorder, and it really interfered with family life.  My husband and I couldn't go out for a night without getting a call from our anxious daughter. We went to a psychiatrist who prescribed 20 mg citalopram at night before she went to bed. Now, she's much more relaxed and easy going, and our whole family can function better.  I'm so glad we found this drug! ",8/10/2010 9:11:10 AM,citalopram oral,5.0,4.0,5.0
"although it has helped enourmously with my depression and anxiety (i finally feel like a normal person) I find it impossible to sleep with this medication, while before i was getting a sound 8 hours, I now only get 4-5 hours of restless sleep, and thats with sleeping pills!",8/9/2010 10:58:09 AM,citalopram oral,5.0,5.0,3.0
This drug has helped reduce a problematic high blood pressure condition that has been difficult to reduce with several other drugs.,8/7/2010 10:22:07 AM,citalopram oral,4.0,4.0,4.0
i have gained weight on this medicine.,8/5/2010 1:16:04 PM,citalopram oral,3.0,4.0,3.0
"I had been taking Paxil for 13 years and it just wasn't helping me anymore. I had anger issues,major depression, crying for no reason and horrible thoughts. I did not want to be around my loved ones, sometimes not even myself. Since taking this medicine I have not been as depressed, and the anger has subsided. I know it is going to take a little bit of time for it to completely start working but so far I am happy with the results will be happier once the tiredness goes away. If you are taking and anti-depressant or think you need one ask your Dr. about this medication.  ",8/4/2010 10:03:56 AM,citalopram oral,4.0,5.0,5.0
This drug has made me feel a lot better.  Have problems with depression and also agitation/anger issues.  Since I have been taking this medication I don't fly off the handle like I use to and I don't just sit around in a blah state of mind. I take it at night because it does make me sleepy but I had rather deal with being sleepy than snapping at my loved ones in anger and being depressed.  Also before I started this medication I constantly woke up every 2 or 3 hours and I could never remember my dreams but now I sleep through the night and I can remember my dreams. My dreams are really random and vivid.  Overall I feel much better especially when I go to bed at a reasonable hour and get plenty of sleep.  I have tried several different medications but this one is the best so far.,8/3/2010 3:30:43 PM,citalopram oral,5.0,5.0,5.0
it takes my mind off alot of raceing thoughts i rest so muchbetter at night it meloies me out,8/2/2010 6:32:17 PM,citalopram oral,5.0,5.0,5.0
"Been taken this medication for depression. Depression has gotten somewhat better, but the side effects are causing me great difficulty.  Always tired, weak and unable to sleep.  Doctotr says side effects should start to go away in a couple of weeks.  I hope so.  I want to get better, but I will have to stop taking this medicine if the side effects do not go away, for I am unable to function with no sleep.  Other side effects nausea, headaches, and food cravings.  Good outcomes, more emotionally even, not crying as much, not so much despair.",7/31/2010 3:36:51 AM,citalopram oral,3.0,5.0,2.0
"I noticed the awful thoughts disappeared but I'm always tired during the day! I now drink caffeine and I never used to before. I also have trouble sleeping at night, which seems odd. My dreams are really weird - feels like I'm watching a movie someone else turned on. Doesn't feel like me. I've been waking up after about 4 or 5 hours of sleep which is not enough. Thinking of asking doctor for an alternative. This is my first experiment with drug therapy. Been taking it for 3 months. ",7/29/2010 11:33:08 PM,citalopram oral,3.0,4.0,3.0
I am more relaxed & don't get anxiety over every little thing anymore. I can actually sleep better now without waking up every 2 hrs. and can handle situations a lot better now. Just wish I had taken this years ago.,7/27/2010 11:14:48 PM,citalopram oral,5.0,5.0,5.0
I feel tired and weak,7/27/2010 7:49:29 PM,citalopram oral,1.0,3.0,1.0
I have been using a couple years now for chronic anxiety.  I am very happy with effectiveness of drug.  Only problem is weight gain.  I have put on atleast 20 lbs. with this drug. ,7/20/2010 8:45:38 PM,citalopram oral,4.0,5.0,3.0
"Took a while to work, but when it did my depression completely abated.  Side effects did happen, but I kept taking it and am very happy that I did.  I have to take an extra med for anxiety.  Despite its off-label use for panic disorders, it didn't help for that.",7/16/2010 2:32:43 PM,citalopram oral,5.0,4.0,5.0
"I started taking this medicine about 3 weeks ago, I was having extreme hot flashes and excessive sweating all though I had a hysteroctomy 10 years ago, my Dr. gave me this to try and it has helped with those issues but it has given in insomnia. not sure which is worse.",7/11/2010 10:10:28 AM,citalopram oral,4.0,3.0,2.0
I have taken citalopram for about a year now. It makes me very sluggish and I just want to sleep all the time. My doctor increased my dose when I told her about the symptoms and it just made it worse. I have also gained 10 pounds since being on the medication possibly due to my lack of interest in physical activity. ,7/10/2010 11:04:56 PM,citalopram oral,3.0,5.0,2.0
"i still have times when i can not help but feel sad, but the good thing is when i am sad i have not been thinking of ways to end my life i am glad my doctor put me on this and bupropion. i have been lossing weight which is a plus. but my boyfriend can tell later at night when it seems like it has stop working and i get mad, sad and cry alot. but it only does this after about 9 o'clock i am going to try taking it a litte later in the day and see if that helps for thier is less fights will do another review in a couple weeks.",7/8/2010 12:15:06 AM,citalopram oral,4.0,5.0,3.0
I just started taking this for relief of extreme hot flashes due to Tamoxifen. has anyone else used it for that and does it work?,7/6/2010 5:25:56 PM,citalopram oral,1.0,1.0,1.0
not sure it helps me with sleepin not sure but ive been havin some numbness in lower left leg and numbhess in left feet not sure if this is associate with med or not ran out of med for about three weeks start it over about 2weeks had problems ever since,7/2/2010 8:53:45 PM,citalopram oral,5.0,5.0,5.0
"It has helped my anxiety. Problem no sex drive. I also get to the point sometimes that I do care about bacis things, like talkng to my wife trying to make her happy, etc...",7/1/2010 9:11:46 PM,citalopram oral,3.0,5.0,4.0
"this put me to sleep within thirty minutes.seem to help my condition,with little or no side effects.",6/28/2010 11:01:49 PM,citalopram oral,5.0,5.0,5.0
Take along with generic wellbutrin and it has helped get rid of the suicidal thoughts.  Still don't have any drive to do things I used to enjoy and sex life has diminished.,6/26/2010 6:44:15 PM,citalopram oral,4.0,4.0,3.0
Found myself sleeping all the time..had no desire to do anything...not happy..not sad...nothingness..,6/26/2010 4:56:32 PM,citalopram oral,3.0,4.0,2.0
"oh my god I thought I was manic before, 4 days on this stuff had me at an all time low, and suicidal, back to the drawing board.",6/21/2010 9:24:15 PM,citalopram oral,1.0,4.0,1.0
"Just started today, i hope this one works",6/21/2010 7:52:01 PM,citalopram oral,2.0,5.0,2.0
I have been taking this with generic Welbutrin and have found the 2 drugs very helpful with the ability for me to cope with life issues!,6/21/2010 6:59:10 PM,citalopram oral,5.0,5.0,5.0
"This medication has kept my depression from fluctuating  as much as it did before taking it. I have no listed side effects with it, however I have been having dreams at night that aren't like me. They are terrible dreams in which people are dying and its a matter of survival. Most of them have been zombie like dreams where people are coming to get you and you have to kill them and/or run away from them and find a safe spot. This has just started since being put on this medication.",6/19/2010 12:23:03 PM,citalopram oral,3.0,4.0,2.0
I'm concerned about the sexual sideffects my doc mentioned.,6/16/2010 1:42:12 PM,citalopram oral,4.0,5.0,4.0
"I have been taking this prescription for two weeks and now my legs are swollen and I am anxious, and can't sleep and got High Blood pressure.  Just came from the hospital for treatment.  ",6/16/2010 2:07:31 AM,citalopram oral,3.0,5.0,1.0
when started on meds began having severe headaches,6/13/2010 3:32:17 AM,citalopram oral,1.0,2.0,1.0
I was very emotional and sad much of the time prior to taking this medication. I noticed a difference in my mood within a week.,6/12/2010 8:21:48 PM,citalopram oral,5.0,5.0,5.0
I think my  its not helping,6/12/2010 12:29:35 PM,citalopram oral,2.0,4.0,2.0
this drug has made an amazing turn in my life:),6/10/2010 6:48:09 AM,citalopram oral,5.0,5.0,5.0
i was taking celexa for panic attics and migraines i am not sure if it is helping  ,6/9/2010 4:55:37 PM,citalopram oral,4.0,4.0,4.0
"I have been taking this for years.  It's probably kept me from having numerous anxiety attacks, violent thoughts and behavior, mood swings, heavy depression, however you can't miss any pills.  I notice right  away within like 48 hours of missing my pill, panic attacks, anger, rage, dark thoughts, heavy mood swings...my girlfriend goes, ""when is the last time you have taken your pill?"", then a lightbulb goes on and I go take it.",6/9/2010 2:59:31 PM,citalopram oral,4.0,3.0,4.0
"While this medication eased my depression, the side effects are horrific and depressing themselves. Incontrollable bowels and inability to orgasm! ",6/8/2010 12:17:08 PM,citalopram oral,4.0,4.0,1.0
I take this @ night with ambien every night and with the cranio-sacral massage my counsrlor suggested me to for PTSD. I'm never over medicated and it's not gonna ruin tomarrow if I don't take my pill today. No graughiness. I love it! ,6/8/2010 2:37:28 AM,citalopram oral,3.0,5.0,5.0
"This medication has been the best thing that ever happened to me. I am human again. I have been on citalopram for 3 years.  I started decreasing med 3 mths ago and finally completely off it.  I had to quit due to pain. I was almost crippled until I figured out it was this med.  But I can't stand it mentally.  I though I would stay on this med for the rest of my life but the pain is more than I can bare.  I hate it.  I am miserable. Hate life, people.  I need to get back to my doctor ASAP to start a new med.  Loved the citalopram!!!!! Can't take the pain. ",6/6/2010 7:02:16 PM,citalopram oral,5.0,5.0,4.0
it has helped calm me down and eased my  anxiety i have tried 3 other medications but citalopram works best.i get some side affects --dry mouth /insomnia and mild headache.i have had free floating anxiety and panic disorder since i was a child and have tried relaxation classes and stress managment . ,6/4/2010 11:41:55 AM,citalopram oral,4.0,4.0,4.0
"I was prescribed this by a consultant approx 4 years ago for my IBS.  He said it would help to settle my stomach and he was right.  Previously, before going to work in the mornings, I would need to go to the loo about 4 or 5 times.  However, Citalopram has helped immensely and I am able to lead a normal life again (no more rushing for the nearest loo when out and about).",6/3/2010 5:32:39 PM,citalopram oral,4.0,5.0,5.0
It took about 6 weeks to 'kick in' and I had a little bit of weight gain and insomnia but the side effects were easy to control,6/3/2010 4:51:25 PM,citalopram oral,5.0,5.0,5.0
HATE THIS DRUG IT'S HORRIBLE! I HAVE DIARRHEA AND LOST 10 POUNDS IN LESS THEN 2 WEEKS. I have HORRIBLE mood swings and nobody wants to be around me! RUN FOR YOUR LIFE!  ,5/29/2010 6:04:16 PM,citalopram oral,1.0,5.0,1.0
"I have been taking this medication for about a month for depression and anxiety. I'm sicker then before, I have worse depression, I have terrible mood swings, I have insomnia, I have uncontrollable bouts of crying and sadness, and my family doesn't want to be around me. I am getting off this medication as soon as I can.",5/29/2010 6:00:56 PM,citalopram oral,1.0,5.0,1.0
Started taking the med to see if stress was causing my chest pains (no heart issues). Was not depressed until the third week of taking the meds. I stopped taking it and felt normal again.,5/26/2010 9:16:58 PM,citalopram oral,1.0,5.0,1.0
I have intense OCD and GAD. I've been on this medication for six months and have had very little improvement with either OCD or GAD. I have some side effects like sexual issues. So I really can't recomend this medication if you want to continue an active sex life. The only thing I've found to help my GAD is buspar which I recommend highly! I've been taking it for a month and feel no anxiety. Though I'm still looking to find help with my OCD.,5/26/2010 4:07:59 PM,citalopram oral,2.0,5.0,2.0
"My grandmother has alzheimer's and she experienced every side effect that is described by the drug definition. Agitation, suicidal thoughts, paranoia and shakiness.",5/24/2010 5:36:55 PM,citalopram oral,1.0,4.0,1.0
"I have been taking this generic form of Celexa for ten years, next month. I was hesitant about getting on any mood med, but it has helped me tremendously. I am here writing this review... that's the point, I'm here. Diagnosed with major depression at 19, I was prescribed this pill by my family physician after several doctors visits relating to depression and its toll on my mind and body. It took me a while to loose some of the edge of being depressed all the time, but the fact is, I did loose the edge. Not perfection, but hey, no one is perfect. But I know that when I stopped taking this med, I relapsed into another major depressive episode. Went back to the med after 6 months of being utterly miserable all the time, and started improving within months. It takes months, realize, for this particular medicine to show its benefits to the user. Others see results sooner than you will; remember, when you're truly depressed everything is gray. If the roof fell on you you wouldn't care. That's depression. By the time you've realized that you need to see your doctor, make the appointment, actually GO and discuss what you're going through... you have already put your body and mind through so much stress OF COURSE the med won't be an instant cure-all. To the reviewers who've been on this pill for only five days or not long at all, WAIT before submitting your reviews. I am here to testify that without this medicine (the ONLY medicine or supplement I take), I wouldn't have been here today writing this really, really long post. 

Seek help. If this pill doesn't work after six months I would advise you to actively find alternatives with the help of your physician and your physician alone. Not a friend. Not a TV commercial or magazine ad. A real doctor. 

Believe me, you will go crazy (crazier?) trying to piece together all the med jargon you googled online. Hope this helps some one out there in internet land. 
",5/23/2010 7:28:40 AM,citalopram oral,5.0,5.0,5.0
"I have been taking the drug for 2wks, it started working right away. I  take the loweset dose and i am sleepy and weak all the time! I take it at night, should I take it in the mornin? will I ever get my energy back?",5/21/2010 11:00:03 PM,citalopram oral,4.0,3.0,4.0
I've been on this for 5 days now and I discovered I can't climax.  Erection is fine but results are extremely frustrating for myself and my wife.  I'll be talking with my doctor early next week about finding another drug.  I started taking this drug because of work related stress and depression.  The one great thing about my life and what helps hold me together is my marrige.  For me this drug isn't worth the side effects.  If you weren't depressed before you sure would be after taking this drug.,5/21/2010 6:25:45 PM,citalopram oral,3.0,5.0,1.0
"I am an anxious, hyper retired 67 year old. I am now taking 20 mg daily. It has quieted me down and I feel in more control.  I go with the ""flow"" now and my husband of 40 years is much happier.  At the beginning I had trouble sleeping but that has gone away.",5/20/2010 1:49:15 PM,citalopram oral,4.0,5.0,4.0
"My wife is in late stage Alzheimer's and has been on antidepressant's for 5 years. Prozac caused IBS and the doctor switched to Citalopram. IBS went away immediately and she has been good since then, 16 months, now.",5/17/2010 10:02:11 AM,citalopram oral,5.0,5.0,5.0
I have not been on this medication very long.,5/17/2010 12:06:17 AM,citalopram oral,2.0,4.0,2.0
"I went from not wanting to be around any body in my family, I was always upset and I was not caring any more.But since i have been taking citalopram for the last 3 months my husband , my kids, and my mom notice how happy  I am, I feel more calm , happy, everything dont break my heart like it did. I am thankful for my doctor who prescribed me the medicine.",5/15/2010 10:02:51 AM,citalopram oral,5.0,5.0,5.0
doesn't seem to work after taking it for a while,5/13/2010 2:29:45 PM,citalopram oral,2.0,5.0,2.0
"THIS IS THE WORST EVER MEDICATION THAT I HAVE EVER TAKEN. THIS MADE ME FEEL LIKE CRACKHEAD OR SOMETHING AND I HAVE NEVER USED AND TYPE OF STREET DRUG! MY JAWS WERE JETTERING I WAS JUMPING AT ALL NOISES FROM TV SOUNDS TO DOOR CLOSING, BAD DREAMS . THIS MEDICINE NEEDS TO BE REMOVED FROM THE FDA IMMEDIATLEY!",5/9/2010 6:51:14 PM,citalopram oral,1.0,1.0,1.0
I have a much better opinion of myself. I can speak out in class without worrying about what someone else wil think of me. I no longer have uncontroilled trembling after socializing and participating in conversation.  I often have a euphoria experience.,5/8/2010 10:31:06 AM,citalopram oral,5.0,5.0,5.0
"Works for Social Anxiety, but does not help with Depression, has significant sexual side-effects.",5/7/2010 4:04:35 PM,citalopram oral,2.0,4.0,4.0
"I was put on this to control anxiety, ie heart flutters, feeling jittery all the time.  I am having some hormonal/coritsol imbalances.  I stuck with this drug a week.  The more I took it, the worse I felt.  I felt like I was in a tunnel and couldn't get out.  the jitters went away, but I developed insomnia, night sweat, nausea, dissiness, blurred vision and it increased my anxiety.  I wish it had worked for me, but I am back to square one.",5/6/2010 1:30:50 PM,citalopram oral,2.0,3.0,1.0
it was up and down till it fully kicked in now I feel ok.,5/5/2010 3:12:00 AM,citalopram oral,5.0,5.0,5.0
"Tried Effexor (heart palpitations)and then Zoloft (made black days worse). This med at 10mg, had an overnight impact on the ""black days""! They are basically gone. However, the sleep impact (hard to wake up) is definitely there also. I have been on this med for only 8 days but the initial result is Thank God the black days are gone. The jury is still out on sexual function. The a/c is set at 72 degrees and I'm sweating down my neck as I type this. Will do another review in a few weeks.",5/4/2010 9:17:57 PM,citalopram oral,5.0,5.0,4.0
when i first stated taking it it made me very dizy,5/3/2010 9:35:50 PM,citalopram oral,4.0,5.0,4.0
"I took this medication for a year to treat anxiety/depression issues. The drug seemed to work for the first few months I was on it, but eventually the drawbacks began to outweigh the posities. The drug significantly lowered my libido. It also led to a somewhat unreal feeling of constant happiness and satisfaction.
I eventually felt that the drug wasn't really helping me with my problems. It was covering them up, ineffectively at that.
I found that talking to a therapist was the most effective way to treat my disorder, and I strongly discourage potential users from simply taking a drug to try and cope.
Many doctors are eager to overprescribe drugs and just hope that the problem will go away. It won't. Upping the dosage will not force you to treat the source of these problems.
Personally, while I think that the drug helped me get through a difficult time in my life, I don't think that it's worth losing yourself in the process.
Mental pain, like physical, is indicative that something is wrong. When we treat a physical ailment we don't just treat the symptom; we treat the cause. I feel that anxiety, depression and other emotional illnesses should be looked at in the same manner.",4/29/2010 10:18:54 PM,citalopram oral,2.0,4.0,2.0
"Hate it the way it make me feel.   
Did much better on lexpro.",4/27/2010 9:35:32 PM,citalopram oral,1.0,1.0,1.0
Life threatning illness and death of immidiate family member.,4/27/2010 8:55:31 PM,citalopram oral,5.0,5.0,5.0
"interacts badly with my Tramadol for pain...makes me dizzy....but hey, I'm not depressed or anxious anymore!",4/26/2010 5:35:56 AM,citalopram oral,3.0,4.0,1.0
Helps calm me down; also sleep better.,4/22/2010 2:43:50 PM,citalopram oral,4.0,5.0,4.0
"I have less problems than before,but I still have a problem with being tired and don't know, whether this is because of my age, 80 yrs old!",4/25/2010 9:20:22 PM,citalopram oral,4.0,5.0,4.0
I just got this prescibed to me and havent takin it yet i take hydrocodone and was wondering if it will hurt to take them together i read some of the reveiws and am kinda excited to take it most ppl say it really helps . my dr put me on it for stress and mood swings plz someone  let me know if they take it with pain meds and let me know if its ok,4/21/2010 10:54:40 PM,citalopram oral,2.0,2.0,2.0
"Helped the depression, but lowered sex drive & now have inability to climax. Was taking 20mg for 2 weeks, then Dr increased to 40mg. Feel too much. Am going to cut back.",4/20/2010 3:38:37 PM,citalopram oral,5.0,5.0,3.0
"I was told to take as needed, but 10mg, is not doing anything for me. Should I increase my dosage? Waiting to see the doctor again, but have to wait at least a week. I do not feel good, having mood swings, and very short tempered. ",4/19/2010 12:29:07 PM,citalopram oral,2.0,5.0,2.0
I just started taking 10 mgs today and I already feel better. Only thing I have noticed is my face feels kind of numb. Over all I have not cried all day or been upsetted easy.,4/14/2010 11:38:20 PM,citalopram oral,5.0,4.0,4.0
"I recently was taking Lexapro, but due to the monthly expense and frequent sweat spells, I decided to switch to Citalopram and have noticed a great difference. I feel better and my spirits are always up. I deal with no more mood swings, depression and helps control my compulsive disorder. The only negative part I think is I'm experiencing with weight gain. I'm very active, eat healthy and gained 7 pounds since I've started 2 months ago. No sure if this is common? But well worth the switch!   ",4/13/2010 12:04:10 AM,citalopram oral,4.0,5.0,4.0
"I have never taken any medication and really didn't want to take this one.  I feel like the guy who has been riding my back for the last 30 years, just got off!  My family physician suggest I give it a trail run.  I'm glad I did.  I have only minor side effects with 20mgs daily.",4/8/2010 6:52:09 AM,citalopram oral,4.0,5.0,4.0
I have not noticed much of a change in myself. Although others around me have. So overall I think it is somewhat effective.,4/7/2010 10:47:14 PM,citalopram oral,3.0,3.0,3.0
cause anger issues and emotional stress,4/7/2010 12:45:59 PM,citalopram oral,3.0,5.0,1.0
this is the only antidepressant I have used that still allows me to enjoy sex. Paxil worked better for me depression-wise but I couldn't orgasm. So the citalopram is my choice. ,4/7/2010 11:48:48 AM,citalopram oral,4.0,4.0,4.0
"I have never thought I needed medication, but when the anxiety began to negatively affect close relationships, my dr recommended this.  I have noticed such a change, not an absence of anxiety but a lessening of its physical and mental control over me, I highly recommend it to anyone overcome by repeated, anxious worries and thoughts that feel out of control.",4/6/2010 8:15:51 PM,citalopram oral,4.0,4.0,4.0
"I used to take Lexapro, but because of loss of medical insurance was swithched to Citalopram. Which I was told was as close to Lexapro as you could get.  I didn't read any of the side effects until recenctly when I started displaying impulsive sexual behaviour.  This is the only side effect that I have noticed. But is a concerning one.",4/2/2010 8:46:56 PM,citalopram oral,4.0,5.0,3.0
I HAVE BEEN SOO TIRED..i TAKE IT IN THE AM DOYOU THINK I SHOULD TAKE AT NIGHT..,4/1/2010 9:19:54 PM,citalopram oral,4.0,5.0,4.0
